"","document","topic","gamma"
"215","278_1821_Я_ЯВ_nc_core",1,0.234104046242775
"216","279_1821_Я_ЯВ_nc_core",1,0.207777777777778
"217","28_1823_Я_Я4_canon_core",1,0.25
"218","280_1821_Амф_Амф4_nc_core",1,0.0448717948717949
"219","281_1821_Я_Я64646663_nc_core",1,0.0103550295857988
"220","282_1821_Я_ЯВ_nc_core",1,0.062962962962963
"221","283_1821_Я_Я6664_nc_core",1,0.00537634408602151
"222","284_1821_Я_Я6_nc_core",1,0.0748031496062992
"223","285_1821_Я_Я65_nc_core",1,0.0280172413793103
"224","286_1821_Я_ЯВ_nc_core",1,0.0292620865139949
"225","287_1821_Д_Д4_nc_core",1,0.0527638190954774
"226","288_1821_Я_Я65_nc_core",1,0.0390070921985816
"227","289_1821_Я_Я6_nc_core",1,0.0323383084577114
"228","29_1820_Я_Я4_nc_core",1,0.373563218390805
"229","290_1818_Я_Я6_nc_core",1,0.00473186119873817
"230","291_1819_Я_Я65_nc_core",1,0.282493368700265
"231","292_1819_Я_Я65_nc_core",1,0.00788643533123028
"232","293_1822_Я_ЯВ_nc_core",1,0.154618473895582
"233","294_1822_Х_Х63_nc_core",1,0.00485436893203883
"234","295_1822_Я_Я5_nc_core",1,0.00655021834061135
"235","296_1822_Я_Я4_nc_core",1,0.0895061728395062
"236","297_1822_Я_Я65_nc_core",1,0.0189873417721519
"237","298_1822_Я_Я5_nc_core",1,0.337962962962963
"238","299_1822_Я_Я43_nc_core",1,0.0605095541401274
"239","3_1819_Я_Я6_nc_core",1,0.146713615023474
"240","30_1820_Я_Я4_nc_core",1,0.0223880597014925
"241","300_1822_Амф_Амф4442_nc_core",1,0.0223880597014925
"242","301_1822_Я_Я6_nc_core",1,0.0324074074074074
"243","302_1822_Я_Я6_nc_core",1,0.00233644859813084
"244","303_1822_Я_Я4_nc_core",1,0.00260416666666667
"245","304_1822_Я_Я6_nc_core",1,0.119318181818182
"246","305_1822_Я_Я4_nc_core",1,0.0511363636363636
"247","306_1822_Амф_Амф4443_nc_core",1,0.0989583333333333
"248","307_1823_Я_ЯВ_nc_core",1,0.171052631578947
"249","308_1823_Я_Я3_nc_core",1,0.00717703349282297
"250","309_1823_Я_ЯВ_nc_core",1,0.240298507462687
"251","31_1820_Я_Я4_nc_core",1,0.573863636363636
"252","310_1823_Я_Я4_nc_core",1,0.237373737373737
"253","311_1823_Я_Я4_nc_core",1,0.00229357798165138
"254","312_1823_Я_ЯВ_nc_core",1,0.110795454545455
"255","313_1824_Полиметр_Полиметр_nc_core",1,0.262987012987013
"256","314_1824_Я_Я4_nc_core",1,0.00165016501650165
"257","316_1831_Я_ЯВ_nc_core",1,0.0557553956834532
"258","317_1831_Я_Я4_nc_core",1,0.00862068965517241
"259","318_1831_Я_Я4_nc_core",1,0.276315789473684
"260","319_1831_Я_Я4_nc_core",1,0.313186813186813
"261","32_1820_Я_Я6_nc_core",1,0.00819672131147541
"262","320_1831_Я_Я4_nc_core",1,0.452127659574468
"263","321_1831_Я_Я4_nc_core",1,0.27
"264","322_1831_Я_Я6_nc_core",1,0.0357142857142857
"265","323_1831_Я_Я2_nc_core",1,0.232758620689655
"266","326_1827_Я_ЯВ_nc_core",1,0.0658914728682171
"267","327_1835_Я_ЯВ_nc_core",1,0.162037037037037
"268","328_1832_Я_Я4_nc_core",1,0.0609756097560976
"269","329_1832_Я_Я4_nc_core",1,0.177083333333333
"270","33_1820_Я_Я43_nc_core",1,0.0319148936170213
"271","330_1832_Я_Я4_nc_core",1,0.157142857142857
"272","331_1830_Я_Я4_nc_core",1,0.416666666666667
"273","332_1828_Я_Я4_nc_core",1,0.0196629213483146
"274","333_1820_Я_Я65_nc_core",1,0.00344827586206897
"275","334_1820_Я_Я5_nc_core",1,0.443661971830986
"276","335_1820_Я_Я65_nc_core",1,0.0226130653266332
"277","336_1825_Я_Я6_nc_core",1,0.217948717948718
"278","337_1825_Я_Я5_nc_core",1,0.444
"279","338_1825_Я_Я5_nc_core",1,0.00684931506849315
"280","339_1821_Я_Я65_nc_core",1,0.216297786720322
"281","34_1821_Я_Я43_nc_core",1,0.258771929824561
"282","341_1822_Я_ЯВ_canon_core",1,0.0840909090909091
"283","343_1823_Я_Я4_canon_core",1,0.00292397660818713
"284","344_1816_Амф_Амф4_nc_core",1,0.000917431192660551
"285","345_1816_Д_ДВ_nc_core",1,0.0395189003436426
"286","346_1817_Я_ЯВ_nc_core",1,0.0582822085889571
"287","347_1817_Я_ЯВ_nc_core",1,0.0126903553299492
"288","349_1817_Я_ЯВ_nc_core",1,0.14010989010989
"289","35_1821_Я_Я5_nc_core",1,0.0424354243542435
"290","350_1817_Эд_Эд_canon_core",1,0.33984375
"291","351_1817_Я_Я6_canon_core",1,0.0371462264150943
"292","352_1818_Д_Д4443_nc_core",1,0.238888888888889
"293","353_1818_Я_ЯВ_nc_core",1,0.196022727272727
"294","354_1818_Я_Я65_nc_core",1,0.0890151515151515
"295","355_1821_Я_Я6464_nc_core",1,0.422169811320755
"296","356_1825_Я_Я65_canon_core",1,0.180288461538462
"297","357_1826_Я_Я6_nc_core",1,0.130188679245283
"298","358_1827_Я_Я4_nc_core",1,0.364864864864865
"299","359_1829_Я_ЯВ_nc_core",1,0.0592105263157895
"300","36_1821_Я_Я43_nc_core",1,0.0229357798165138
"301","360_1831_Х_Х4_nc_core",1,0.0482456140350877
"302","361_1827_Я_Я5_canon_core",1,0.0789473684210526
"303","362_1830_Я_Я4_nc_core",1,0.31
"304","363_1831_Я_Я4_nc_core",1,0.0496688741721854
"305","364_1828_Я_Я4_nc_core",1,0.216417910447761
"306","365_1828_Я_Я4_nc_core",1,0.00279329608938547
"307","366_1828_Я_Я4_nc_core",1,0.0725806451612903
"308","367_1827_Я_Я6_nc_core",1,0.0799256505576208
"309","368_1827_Я_Я4_nc_core",1,0.0681818181818182
"310","369_1828_Я_ЯВ_nc_core",1,0.000978473581213307
"311","37_1821_Я_Я4_canon_core",1,0.154761904761905
"312","370_1829_Я_Я4_nc_core",1,0.226190476190476
