id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
50;Дмитриев М.;Дмитриев М.А.;Элегия;Неужели слезы любви и сожаленья;1822;Я;ЯВ;ЯВнеурег;NA;СО;NA;1822;Ч. 75;№ 4;132;per;NA;Я;В;неурег;nc;core
51;П. Теряев;Теряев П.;Элегия на кончину Л.И.Г-ской;Почто задумался веселый Гименей;1822;Я;Я65;Я65мжмж;NA;СО;NA;1822;Ч. 76;№ 14;317-321;per;NA;Я;65;мжмж;nc;core
52;Олин В.;Олин В.Н.;Упование;Давно ли жизнию кипела в сердце кровь;1822;Я;Я65;Я65мжмж;Элегия;Олин В.Н. Две элегии, посвящены памяти незабвенной супруги;СПб;1822;NA;NA;NA;col;NA;Я;65;мжмж;nc;core
53;Олин В.;Олин В.Н.;Весна;Уж веет жизнию прекрасная весна;1822;Я;Я65;Я65мжмж;Элегия;СО;NA;1822;Ч. 77;№ 19;226-229;per;NA;Я;65;мжмж;nc;core
55;Б-ий;Баратынский Е.А.;Элегия;Дремала роща над потоком;1821;Я;Я4;Я4неурег;NA;СО;NA;1821;Ч. 71;№ 27;39;per;NA;Я;4;неурег;nc;core
56;Рылеев;Рылеев К.Ф.;Курбский;На камне мшистом в час ночной;1821;Я;Я4;Я4мжмж;Элегия;СО;NA;1821;Ч. 71;№ 29;129-131;per;NA;Я;4;мжмж;nc;core
57;С. Нечаев;Нечаев С.Д.;Элегия;Где цветут благоухая;1821;Х;Х4;Х4жмжм;NA;СО;NA;1821;Ч. 71;№ 30;176-177;per;NA;Х;4;жмжм;nc;core
58;П. Теряев;Теряев П.;Элегия, на кончину Начальницы Воспитательного Общества благородных девиц Ордена Св. Екатерины, Госпожи Действительной Статской Советницы Анны Ивановны фон Брейткопф, урожденной Парис;Свершилось! все мольбы отринуты судьбой;1823;Я;Я65;Я65мжмж;NA;СО;NA;1823;Ч. 83;№ 7;321-324;per;NA;Я;65;мжмж;nc;core
59;Иван Козлов;Козлов И.И.;Прости;Прости! и если так судьбою;1823;Я;Я4;Я4жмжм;Элегия Лорда Бейрона на разлучение супругов. Перевод с Английского;СО;NA;1823;Ч. 85;№ 18;182-184;per;NA;Я;4;жмжм;canon;core
61;Д. Гл.;Глебов Д.П.;Элегия;О вы пустынницы долин уединенных;1822;Я;Я6;Я6неурег;NA;СО;NA;1822;Ч. 79;№ 27;32-34;per;"С небольшими разночтениями опубликовано под заголовком ""К Музам"": Глебов Д. Элегии и другие стихотворения. М., 1827. С. 27-29";Я;6;неурег;nc;core
62;Г.б.с.;Габбе П.А.;Бейрон в темнице;Последний солнца луч погас за Аппенином;1822;Я;Я6664;Я6664жмжм;Элегия;СО;NA;1822;Ч. 81;№ 43;121-125;per;NA;Я;6664;жмжм;canon;core
63;Д. Глебов;Глебов Д.П.;Разрушенный лес;О сонмы Нимф! Струите токи слез;1823;Я;Я5;Я5мжмж;Элегия;ДЖ;NA;1823;Ч. 1;№ 3;111-112;per;С разночтением в стихе 27 повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 30-31;Я;5;мжмж;nc;core
