id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
301;Г.;[Г.];Аминт;Она бежит отсель я грусти сын унылый;1822;Я;Я6;Я6жмжм;Элегия (указ. в огл. тома);Благонамеренный;NA;1822;Ч. 19;№  31;185-186;per;NA;Я;6;жмжм;nc;core
302;Пл. Ободовский;Ободовский П.Г.;Плач Давида о смерти Саула и Ионафана;На высотах Гильбои диких;1822;Я;Я6;Я6жмжм;Элегия;Благонамеренный;NA;1822;Ч. 19;№  38;459-461;per;NA;Я;6;жмжм;nc;core
303;С. Ст-ч;[С. Ст-ч];Ночь на кладбище;Я здесь окрест меня молчанье;1822;Я;Я4;Я4жмжм;Элегия (указ. в огл. тома);Благонамеренный;NA;1822;Ч. 19;№  38;462-463;per;NA;Я;4;жмжм;nc;core
304;А. Н-ъ;[А. Н-ъ];Элегия;В долине ветр шумит всхолмились тихи воды;1822;Я;Я6;Я6жмжм;NA;Благонамеренный;NA;1822;Ч. 19;№  39;501-502;per;NA;Я;6;жмжм;nc;core
305;А. В.;[А.В.];Элегия;Лелейте тихие Зефиры;1822;Я;Я4;Я4неурег;NA;Благонамеренный;NA;1822;Ч. 20;№ 44;194-195;per;NA;Я;4;неурег;nc;core
306;В.;Туманский В.И. (?);Элегия;Напрасно тоскуешь о днях золотых;1822;Амф;Амф4443;Амф4443мжмж;"К Софии Т.; 1822";Благонамеренный;NA;1822;Ч. 20;№ 48;336-337;per;NA;Амф;4443;мжмж;nc;core
307;Ф... Р...;Рындовский Ф.М.;Новый год;Гость радостный тебя я с горестью встречаю;1823;Я;ЯВ;ЯВнеурег;Элегия;Благонамеренный;NA;1823;Ч. 21;№ 4;284-287;per;NA;Я;В;неурег;nc;core
308;П. Шкляревский;Шкляревский П.П.;Песнь Оссиана;В долине сокровенной;1823;Я;Я3;Я3жмжм;Элегия (указ. в огл. тома);Благонамеренный;NA;1823;Ч. 21;№ 5;321-324;per;NA;Я;3;жмжм;nc;core
309;Ф. Ры-ский;Рындовский Ф.М.;Разлука с друзьями;Источник радостей и милых наслаждений;1823;Я;ЯВ;ЯВнеурег;Элегия;Благонамеренный;NA;1823;Ч. 22;№ 7;19-22;per;NA;Я;В;неурег;nc;core
310;Ир. Подшивалов;[Подшивалов Ир.];Элегия;Хочу отвыкнуть наслаждаться;1823;Я;Я4;Я4неурег;NA;Благонамеренный;NA;1823;Ч. 23;№ 14;143-144;per;NA;Я;4;неурег;nc;core
311;Платон Волков;Волков П.Г.;Воспоминание;Напрасно день за днем катится;1823;Я;Я4;Я4жмжм;Элегия (указ. в огл. тома);Благонамеренный;NA;1823;Ч. 23;№ 16;264-266;per;NA;Я;4;жмжм;nc;core
312;Волков;Волков П.Г.(?);Элегия;Увижу ли тебя о друг мой несравненный;1823;Я;ЯВ;ЯВнеурег;NA;Благонамеренный;NA;1823;Ч. 24;№ 19;60-61;per;NA;Я;В;неурег;nc;core
313;Мотыльков;[Мотыльков];Элегия;Ты заснуло навсегда;1824;Полиметр;Полиметр;Х43мж + Х4жм + Я6жмжмжж + Амф4;NA;Благонамеренный;NA;1824;Ч. 25;№ 5;351-353;per;NA;Полиметр;NA;NA;nc;core
314;Г...в;[Г…в];Возвращение воина на родину;Сын Марса ярого любезный;1824;Я;Я4;Я4жммж;Элегия (указ. в огл. тома);Благонамеренный;NA;1824;Ч. 25;№ 6;427-429;per;NA;Я;4;жммж;nc;core
316;В. Тепляков;Тепляков В. Г.;Вторая фракийская элегия. Томис;Свинцовой дымкою подернут свод небес;1831;Я;ЯВ;ЯВнеурег;NA;Одесский альманах на 1831 год;Одесса;1831;NA;NA;157-166;alm;NA;Я;В;неурег;nc;core
317;Н. Языков;Языков Н.М.;Элегия (Т. Д.);Блажен кто мог одежду ночи;1831;Я;Я4;Я4жмжм;NA;Одесский альманах на 1831 год;Одесса;1831;NA;NA;258;alm;NA;Я;4;жмжм;nc;core
318;Г-х-въ;[Г-х-в];Элегия (К. В. Р-вой);Зачем вы очи голубыя;1831;Я;Я4;Я4неурег;NA;Северное сияние, альманах на 1831 год;М;1831;NA;NA;197;alm;NA;Я;4;неурег;nc;core
319;Б. Федоров;Федоров Б.М.;Элегия;Склонился к вечеру день знойный;1831;Я;Я4;Я4жмжм;NA;Венера, или собрание стихотворений разных авторов;М;1831;NA;NA;28-29;alm;NA;Я;4;жмжм;nc;core
320;NA;[Без подписи];Элегия;Я жизнь любил когда полна;1831;Я;Я4;Я4неурег;NA;Венера, или собрание стихотворений разных авторов;М;1831;NA;NA;68-69;alm;NA;Я;4;неурег;nc;core
321;NA;[Без подписи];Элегия;Когда когда сквозь темну даль;1831;Я;Я4;Я4неурег;NA;Венера, или собрание стихотворений разных авторов;М;1831;NA;NA;110;alm;NA;Я;4;неурег;nc;core
322;NA;[Без подписи];Елегия;Сокройтесь от меня вы шумные забавы;1831;Я;Я6;Я6неурег;NA;Венера, или собрание стихотворений разных авторов;М;1831;NA;NA;133;alm;NA;Я;6;неурег;nc;core
323;А. Пушкин;Пушкин А.С.;Элегия;Мечты мечты;1831;Я;Я2;Я2неурег;NA;Венера, или собрание стихотворений разных авторов;М;1831;NA;NA;145-146;alm;NA;Я;2;неурег;nc;core
326;В. Пушкин;Пушкин В.Л.;Счастливый младенец;Небесный ангел среброкрылый;1827;Я;ЯВ;ЯВнеурег;Элегия;Литературный музеум на 1827 год;М;1827;NA;NA;235-236;alm;NA;Я;В;неурег;nc;core
327;А. Маркович;[Маркович А.];Элегия;Сотлела снега пелена;1835;Я;ЯВ;ЯВнеурег;NA;Осенний вечер;Спб;1835;NA;NA;106-107;alm;NA;Я;В;неурег;nc;core
328;Ив. Г-в;Глухорев И.Н.;Элегия;Она как ангел чистоты;1832;Я;Я4;Я4неурег;NA;Полярная звезда на 1832;М;1832;NA;NA;38;alm;NA;Я;4;неурег;nc;core
329;Ив. Глухорев;Глухорев И.Н.;Элегия (Посвящена П.С. М-ой);Мне снова радость улыбнулась;1832;Я;Я4;Я4неурег;NA;Полярная звезда на 1832;М;1832;NA;NA;113;alm;NA;Я;4;неурег;nc;core
330;Дм. Ш.;[Дм. Ш.];Элегия;Я помню юностью блистая;1832;Я;Я4;Я4жмжм;NA;Полярная звезда на 1832;М;1832;NA;NA;128;alm;NA;Я;4;жмжм;nc;core
331;NA;[Без подписи];Элегия;Не тот несчастлив, кто страданьем;1830;Я;Я4;Я4жмжм;NA;Эхо, литературный альманах;М;1830;NA;NA;100-101;alm;NA;Я;4;жмжм;nc;core
332;М. Лисицына;Лисицына М.А.;Элегия;Ах где она твоя любовь;1828;Я;Я4;Я4мжмж;NA;Русский зритель;NA;1828;Ч. 4;№ 15-16;206-207;per;NA;Я;4;мжмж;nc;core
333;Плетнев;Плетнев П.А.;Неразделяемое наслаждение;Я видел милую о незабвенный час;1820;Я;Я65;Я65мжмж;Элегия;Соревнователь;NA;1820;Ч. 9;Кн. 1;71-72;per;NA;Я;65;мжмж;nc;core
334;Баратынский;Баратынский Е.А.;Элегия;На краткий миг пленяет в жизни радость;1820;Я;Я5;Я5неурег;NA;Соревнователь;NA;1820;Ч. 9;Кн. 2;196;per;NA;Я;5;неурег;nc;core
335;Плетнев;Плетнев П.А.;Праздник;Благословляю твой возврат счастливый день;1820;Я;Я65;Я65мжмж;Элегия;Соревнователь;NA;1820;Ч. 9;Кн. 3;324-326;per;NA;Я;65;мжмж;nc;core
336;А. Б. стр. м;Бистром А.;К фантазии;Куда сокрыласа подруга юных дней;1825;Я;Я6;Я6неурег;Элегия (указ. в огл. тома);Благонамеренный;NA;1825;Ч. 31;№ 27-28;36-37;per;NA;Я;6;неурег;nc;core
337;А. Герман;Герман А.;Воспоминание;Мой полон дух живых воспоминаний;1825;Я;Я5;Я5жмжм;Элегия (указ. в огл. тома);Благонамеренный;NA;1825;Ч. 31;№ 37-38;358-359;per;NA;Я;5;жмжм;nc;core
338;Б. Федоров;Федоров Б.М.;На смерть Евгении Д;Почто спешил мне ангел неизвестный;1825;Я;Я5;Я5жмжм;Элегия (указ. в огл. тома);Благонамеренный;NA;1825;Ч. 31;№ 39-40;444;per;NA;Я;5;жмжм;nc;core
339;Плетнев;Плетнев П.А.;Миних;Края пустынные безлюдная страна;1821;Я;Я65;Я65мжмж;Элегия;Соревнователь;NA;1821;Ч. 14;Кн. 1;53-57;per;Повторно опубликовано: СО. 1821. Ч. 70. № 26. С. 272-276.;Я;65;мжмж;nc;core
341;Н. Тчв;Тютчев Ф.И.;Одиночество;Как часто бросив взор с утесистой вершины;1822;Я;ЯВ;ЯВнеурег;NA;Соревнователь;NA;1822;Ч. 18;Кн. 3;346-348;per;NA;Я;В;неурег;canon;core
343;Туманский;Туманский В.И.;Падение листьев;С дерев на поздний злак полей;1823;Я;Я4;Я4неурег;NA;Соревнователь;NA;1823;Ч. 22;Кн. 3;266-268;per;NA;Я;4;неурег;canon;core
344;М. Лобанов;Лобанов М.Е.;Элегия при гробе князя Смоленского;Вот здесь в велеленном молитвенном зданьи;1816;Амф;Амф4;Амф4жмжм;NA;СО;NA;1816;Ч. 29;№ 15;105-108;per;NA;Амф;4;жмжм;nc;core
345;В. Олин;Олин В.Н.;Элегия на смерть Державина;Мрачно все на лугах Геликона двухолмна;1816;Д;ДВ;ДВж;NA;СО;NA;1816;Ч. 31;№ 29;104-105;per;NA;Д;В;ж;nc;core
346;Д. Глебов;Глебов Д.П.;Элегия;Пора оставить нам забавы городские;1817;Я;ЯВ;ЯВнеурег;NA;СО;NA;1817;Ч. 39;№ 28;64-65;per;Повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 48-50;Я;В;неурег;nc;core
347;Глебов;Глебов Д.П.;Элегия;О чем еще богов молить;1817;Я;ЯВ;ЯВнеурег;NA;СО;NA;1817;Ч. 40;№ 33;26-27;per;С изменением двух строк повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 45-47.;Я;В;неурег;nc;core
349;Глебов;Глебов Д.П.;Элегия;Под небом сумрачным долины обнаженны;1817;Я;ЯВ;ЯВнеурег;NA;СО;NA;1817;Ч. 40;№ 38;229-230;per;NA;Я;В;неурег;nc;core
350;Вильгельм;Кюхельбекер Вильгельм Карлович;Элегия;Цвет моей жизни не вянь о время сладостной скорби;1817;Эд;Эд;Эд;К Дельвигу;СО;NA;1817;Ч. 41;№ 41;105-106;per;NA;Эд;NA;NA;canon;core
351;Вас. Туманский;Туманский В.И.;Поле Бородинского сражения;Уж солнце за горой последний луч затмился;1817;Я;Я6;Я6жмжм;Элегия. Подражание Тигде;СО;NA;1817;Ч. 42;№ 50;197-202;per;NA;Я;6;жмжм;canon;core
352;Г.;[Г.];К младости;Жизни юдольной единая радость;1818;Д;Д4443;Д4443жмжм;Элегия;СО;NA;1818;Ч. 43;№ 5;207;per;NA;Д;4443;жмжм;nc;core
353;Д. Глебов;Глебов Д.П.;Элегия;Я заслужил твое вниманье;1818;Я;ЯВ;ЯВнеурег;NA;CО;NA;1818;Ч. 44;№ 8;63-64;per;NA;Я;В;неурег;nc;core
354;П.П.;Плетнев П.А.;Загородная роща;Опять ты надо мной зеленый тихий свод;1818;Я;Я65;Я65мжмж;Элегия. Посвящена Ивану Сергеевичу Георгиевскому;CО;NA;1818;Ч. 50;№ 50;225-226;per;NA;Я;65;мжмж;nc;core
355;Мих. Дмитриев;Дмитриев М.А.;Прошедшее;Нет нет не возвратить прошедших наслаждений;1821;Я;Я6464;Я6464жмжм;Элегия;СО;NA;1821;Ч. 70;№ 23;133-135;per;С разночтениями повторно опубликовано: Стихотворения Михаила Дмитриева. М., 1830. С. 15-19;Я;6464;жмжм;nc;core
356;Дмитрий Глебов;Глебов Д.П.;Осень;Угрюмой осени безжалостной рукой;1825;Я;Я65;Я65мжмж;Элегия;СО;NA;1825;Ч. 101;№ 12;407-409;per;Повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 24-26;Я;65;мжмж;canon;core
357;Анна Готовцева;Готовцева А.И.;Одиночество;Как часто на горе при солнечном закате;1826;Я;Я6;Я6жмжм;Перевод из Ламартина;СО;NA;1826;Ч, 106;№ 5;107-109;per;NA;Я;6;жмжм;nc;core
358;Николай Лутковский;Лутковский Н.П.;Элегия;Души возвышенного чувства;1827;Я;Я4;Я4неурег;NA;СО;NA;1827;Ч. 112;№ 8;402;per;NA;Я;4;неурег;nc;core
359;* ;[*];Тоска;Напрасно я стараюсь заглушить;1829;Я;ЯВ;ЯВнеурег;Элегия;СО и СА;NA;1829;Т. 6;№ 37;235;per;NA;Я;В;неурег;nc;core
360;NA;Бестужев А. А.;Каспийское море;Пал туман на море синее;1831;Х;Х4;Х4дмдм;NA;СО и СА;NA;1831;Т. 19;№ 17;161-163;per;NA;Х;4;дмдм;nc;core
361;NA;Веневитинов Д. В.;Элегия;Волшебница как сладко пела ты;1827;Я;Я5;Я5неурег;NA;Сочинения Д.В. Веневитинова;М;1829;NA;NA;79-80;col;NA;Я;5;неурег;canon;core
362;С. С..ий;[С. С…ий];Элегия;Когда когда сквозь темну даль;1830;Я;Я4;Я4неурег;NA;ДЖ;NA;1830;Ч. 30;№ 16;40;per;NA;Я;4;неурег;nc;core
363;* * ;[* *];Элегия;Проходит время дни за днями;1831;Я;Я4;Я4неурег;NA;СПб Вестник;NA;1831;Т. 3;№ 30;74-75;per;NA;Я;4;неурег;nc;core
364;Н. Богаевский;[Богаевский Н.];Элегия к Н***;Ах очи очи голубые;1828;Я;Я4;Я4жмжм;NA;Славянин;NA;1828;Ч. 6;№ 18;195-196;per;NA;Я;4;жмжм;nc;core
365;Сиянов;Сиянов П.Г.;Вечер;Все тихо вечер наступает;1828;Я;Я4;Я4неурег;Из Ламартина. В альбом княжне Ал..Евгр...Мышецкой;Славянин;NA;1828;Ч. 6;№ 24;428-430;per;NA;Я;4;неурег;nc;core
366;Н. Богаевской;[Богаевский Н.];Элегия;Во дни моей беспечной младости;1828;Я;Я4;Я4дмдм;NA;Славянин;NA;1828;Ч. 6 ;№ 26;508;per;NA;Я;4;дмдм;nc;core
367;Улан-Поселянин;Нарежный В.Т.;Одиночество;Нередко на горе под древними дубами;1827;Я;Я6;Я6неурег;Из Ламартина;Славянин;NA;1827;Ч. 4;№ 45;225-227;per;NA;Я;6;неурег;nc;core
368;Б. Федоров;Федоров Б.М.;Элегия;Зачем печаль изобразилась;1827;Я;Я4;Я4неурег;NA;Славянин;NA;1827;Ч. 4;№ 47;297-298;per;NA;Я;4;неурег;nc;core
369;Л.;[Л.];Тибуллова элегия;Пускай другой гонясь за славой и фортуной;1828;Я;ЯВ;ЯВнеурег;NA;Славянин;NA;1828;Ч. 5;№ 11;424-428;per;NA;Я;В;неурег;nc;core
370;Вал:-еио-ъ;[Вал:-еио-ъ];Элегия;Мне изменяет вдохновенье;1829;Я;Я4;Я4неурег;NA;Славянин;NA;1829;Ч. 10;№ 20-21;278;per;NA;Я;4;неурег;nc;core
371;С. Каратеев;[С. Каратеев];Элегия;Птичкой резвою умчалась;1829;Х;Х4;Х4жмжм;Посвящается А.П.М...киной;Славянин;NA;1829;Ч. 10;№ 25-26;386;per;NA;Х;4;жмжм;nc;core
373;Бестужев-Рюмин;Бестужев-Рюмин М.А.;Плач супруга;Уж нет ее одни страданья;1830;Я;Я4;Я4неурег;Элегия;Славянин;NA;1830;Ч. 13;№ 3;210-211;per;NA;Я;4;неурег;nc;core
374;Сиянов;Сиянов П.Г.;Элегия;Недолго счастие и радость;1830;Я;Я4;Я4жмжм;NA;Славянин;NA;1830;Ч. 14;№ 10;777;per;NA;Я;4;жмжм;nc;core
375;П. М...;[П.М…];Элегия;Давно ли сердцем и душой;1829;Я;Я4;Я4мжмж;NA;Бабочка;NA;1829;NA;№ 84;334-335;per;NA;Я;4;мжмж;nc;core
376;13.;[13];Элегия;Как сладостно в кругу родных;1829;Я;Я4;Я4мжмж;NA;Бабочка;NA;1829;NA;№ 87;347;per;NA;Я;4;мжмж;nc;core
377;П. М...вич;[П. М…вич];Моей элегии;Зачем таиться от меня;1830;Я;Я4;Я4мжмж;NA;Бабочка;NA;1830;NA;№ 24;95;per;NA;Я;4;мжмж;nc;core
378;Н. С.;Станкевич Н.В.;Элегия;Когда на западе горит;1830;Я;Я4343443443;Я4343443443м;NA;Бабочка;NA;1830;NA;№ 45;179-180;per;NA;Я;4343443443;м;canon;core
379;П. М...вич;[П. М…вич];Моей элегии;Ужель под розою прелестной;1830;Я;Я4;Я4жмжм;На вопрос: часто ли я танцую?;Бабочка;NA;1830;NA;№ 90;359;per;NA;Я;4;жмжм;nc;core
380;С-в;Сиянов П.Г.(?);Элегия;Напрасно разносчик ты в окна глядишь;1830;Полиметр;Полиметр;Амф43 + ЯВмжмж;NA;Северный Меркурий;NA;1830;Т. 1;№ 60;240;per;NA;Полиметр;NA;Амф43 + ЯВмжмж;nc;core
381;Я. Д-в;Драгоманов Я.А.;Родные могилы;Далеко вижу я с вершины той горы;1830;Я;ЯВ;ЯВнеурег;Элегия;Северный Меркурий;NA;1830;Т. 2;№ 122;174-175;per;NA;Я;В;неурег;nc;core
382;А. Суходольский;Суходольский А.;Элегия;Вчерашний день был день разлуки;1830;Я;Я4;Я4неурег;NA;Северный Меркурий;NA;1830;Т. 2;№ 135;226;per;NA;Я;4;неурег;nc;core
383;Ф. Алексеев;Алексеев Ф.А.;Элегия;Где мутная волна дремотной Шевороны;1825;Я;Я6;Я6неурег;NA;МТ;NA;1825;Ч. 1;№ 1;52;per;NA;Я;6;неурег;nc;core
386;Н. Греков;Греков Н.П.;Вечер;Нисходит вечер с тишиной;1825;Я;Я4;Я4мжжм;Из Ламартина;МТ;NA;1825;Ч. 6;№ 22;161-163;per;NA;Я;4;мжжм;nc;core
387;А. Пушкин;Пушкин А.С.;Элегия;Люблю ваш сумрак неизвестный;1826;Я;Я4;Я4жмжм;NA;МТ;NA;1826;Ч. 7. Отд. 2;№ 1;5-6;per;NA;Я;4;жмжм;canon;core
389;1.. 3...;Волков А.А.;Элегия;Где дни счастливых обольщений;1826;Я;Я4;Я4неурег;NA;МТ;NA;1826;Ч. 8. Отд. 2;№ 6;46-47;per;NA;Я;4;неурег;nc;core
390;В. Астафьев;Астафьев В. И.;Элегия;Зачем неверные мечты;1826;Я;Я4;Я4мжмж;NA;МТ;NA;1826;Ч. 8. Отд. 2;№ 7;86;per;NA;Я;4;мжмж;nc;core
392;Н. Павлов;Павлов Н.Ф.;Элегия;Нет, нет! я не рожден с благословеньем неба;1826;Я;Я65;Я65жмжм;NA;МТ;NA;1826;Ч. 9. Отд. 2;№ 12;153-154;per;NA;Я;65;жмжм;nc;core
393;Ю. Познанский;Познанский Ю.И.;Элегия;Вот роза - милый друг! сорвем ее скорей,;1826;Я;Я6;Я6неурег;К Ал... Из Ламартина;МТ;NA;1826;Ч. 9. Отд. 2;№ 12;156-158;per;NA;Я;6;неурег;nc;core
394;И. Бороздна;Бороздна И.П.;К Цинтии;О, Цинтия! нет, нет, я смерти не страшусь!;1826;Я;Я6;Я6неурег;Проперциева элегия;МТ;NA;1826;Ч. 10. Отд. 2;№ 13;4-5;per;Повторно опубликовано: Опыты в стихах Ивана Бороздны. М. 1828. С. 102-103.;Я;6;неурег;nc;core
395;Алексеев;Алексеев Ф.А.;Элегия;Я нелюбим, ужасный опыт;1830;Я;Я4;Я4жмжм;NA;МТ;NA;1830;Ч. 31;№ 1;45;per;Перепечатано: Венера, или собрание стихотворений разных авторов. М. 1831. С. 150-151;Я;4;жмжм;nc;core
396;И. Пустоцветов;Полевой Н.А.;Разуверение;Она прошла, былая радость;1830;Я;Я4;Я4неурег;Элегия;МТ;NA;1830;Ч. 31;№ 3;48-49;per;NA;Я;4;неурег;nc;core
397;NA;[Без подписи];Очки;Не удивись, что я, с хорошими глазами;1825;Я;ЯВ;ЯВнеурег;Элегия;Мнемозина;М;1825;Ч. 4;NA;153-155;per;NA;Я;В;неурег;nc;core
398;Л.;[Л.];Элегия;И печали, и страданья;1831;Х;Х4;Х4неурег;NA;ЛПРИ;NA;1831;Ч. 1;№ 17;134;per;NA;Х;4;неурег;nc;core
399;С.;[С.];Элегия;Душе, которая стесненна;1831;Я;Я4;Я4неурег;NA;ЛПРИ;NA;1831;Ч. 4;№ 94;743;per;NA;Я;4;неурег;nc;core
400;И. Покровский;[Покровский И.];Элегия;Покойся, в первые минуты жизни краткой;1832;Я;Я6;Я6жммж;У колыбели;ЛПРИ;NA;1832;Ч. 5;№ 11;87-88;per;NA;Я;6;жммж;nc;core
401;Суходольский;Суходольский А.;Элегия;Я помню день, когда она;1832;Я;Я4;Я4неурег;NA;ЛПРИ;NA;1832;Ч. 6;№ 28;223;per;NA;Я;4;неурег;nc;core
403;Петр Никифоров;[Никифоров П.];Элегия;Придет весна - зазеленеют нивы;1833;Я;Я4;Я4неурег;NA;ЛПРИ;NA;1833;Ч. 10;№ 38;303;per;NA;Я;4;неурег;nc;core
405;Н. Ставелов;Ставелов Н.;Элегия;Скажи мне: ты ли говорила;1833;Я;ЯВ;ЯВнеурег;NA;ЛПРИ;NA;1833;Ч. 11;№ 57;452;per;NA;Я;В;неурег;nc;core
406;Н. Ставелов;Ставелов Н.;Элегия;Не думай ты, что я пленился;1833;Я;Я4;Я4неурег;NA;ЛПРИ;NA;1833;Ч. 11;№ 66;557;per;NA;Я;4;неурег;nc;core
407;Н. Ставелов;Ставелов Н.;Элегия;Ты говоришь, что я преследую тебя;1833;Я;ЯВ;ЯВнеурег;NA;ЛПРИ;NA;1833;Ч. 12;№ 87;695-696;per;NA;Я;В;неурег;nc;core
408;Н. Ставелов;Ставелов Н.;Элегия;Ты никогда меня, Алина, не любила;1833;Я;ЯВ;ЯВнеурег;NA;ЛПРИ;NA;1833;Ч. 12;№ 103;823;per;NA;Я;В;неурег;nc;core
409;В. Туманский;Туманский В.И.;Элегия;Не ведает мудрец надменный;1827;Я;Я4;Я4жмжм;1825.;МВ;NA;1827;Ч. 4;№ 15;227-228;per;Перепечатано: ЛПРИ. 1834. Ч. 13;Я;4;жмжм;canon;core
410;N. N.;[N.N.];Элегия;Я знал восторгов наслажденья;1834;Я;Я4;Я4жммж;NA;ЛПРИ;NA;1834;Ч. 13;№ 20;159;per;NA;Я;4;жммж;nc;core
411;В. Гл-в;[В. Гл-в];Элегия;Нельзя воскреснуть к жизни новой;1834;Я;Я4;Я4неурег;NA;ЛПРИ;NA;1834;Ч. 13;№ 26;207;per;NA;Я;4;неурег;nc;core
412;Н. Ставелов;Ставелов Н.;Элегия;Светлое, ясное небо!;1834;Д;ДВ;ДВнеурег;NA;ЛПРИ;NA;1834;Ч. 14;№ 33-34;270;per;NA;Д;В;неурег;nc;core
413;Н. Ставелов;Ставелов Н.;Элегия;Не изъявляй холодного участья;1834;Я;ЯВ;ЯВнеурег;NA;ЛПРИ;NA;1834;Ч. 14;№ 37;295;per;NA;Я;В;неурег;nc;core
414;Н. Ставелов;Ставелов Н.;Элегия;Коварно так обманутый тобою;1834;Я;Я5;Я5мжмж;NA;ЛПРИ;NA;1834;Ч. 14;№ 40;315-316;per;NA;Я;5;мжмж;nc;core
415;Павел Хотяинцов;Хотяинцев П.;Умирающий поэт;Поэт пел песнь свою предсмертную - и верной;1834;Я;Я6;Я6неурег;Из Мильвуа;ЛПРИ;NA;1834;Ч. 14;№ 42;331;per;NA;Я;6;неурег;nc;core
416;Н. Ставелов;Ставелов Н.;Элегия;Уже холодный вихрь все листь разметал;1834;Я;ЯВ;ЯВнеурег;NA;ЛПРИ;NA;1834;Ч. 14;№ 43;343-344;per;NA;Я;В;неурег;nc;core
417;Н. Ставелов;Ставелов Н.;Элегия;О вы, долины сокровенные;1834;Я;Я4;Я4дмдм;NA;ЛПРИ;NA;1834;Ч. 14;№ 48;383-384;per;NA;Я;4;дмдм;nc;core
418;Н. Ставелов;Ставелов Н.;Элегия;Прими последнее прощанье;1834;Я;ЯВ;ЯВнеурег;NA;ЛПРИ;NA;1834;Ч. 15;№ 55;436;per;NA;Я;В;неурег;nc;core
419;Н. Ставелов;Ставелов Н.;Элегия;Я был везде - я все узнал;1834;Я;Я4;Я4неурег;NA;ЛПРИ;NA;1834;Ч. 15;№ 65;520;per;NA;Я;4;неурег;nc;core
420;А. Хомяков;Хомяков А.С.;Элегия на В.К.;Я знаю, в гроб его сокрыли;1827;Я;Я4;Я4жмжм;NA;МВ;NA;1827;Ч. 4;№ 13;11;per;NA;Я;4;жмжм;canon;core
421;Н. Ставелов;Ставелов Н.;Элегия;Сошел седой туман на сонные равнины;1835;Я;Я6;Я6жмжм;NA;ЛПРИ;NA;1835;Ч. 18;№ 28-29;229-230;per;NA;Я;6;жмжм;nc;core
422;Подражаев;Аксаков С.Т.;Элегия в новом вкусе;Молчит угрюмый бор... луч солнца догорает;1821;Я;ЯВ;ЯВнеурег;NA;ВЕ;NA;1821;Ч. 118;№ 9;15-17;per;NA;Я;В;неурег;nc;core
423;Норов;Норов А.С.;Юный страдалец;Державный Аполлон! бог дивных исцелений!;1821;Я;Я6;Я6жжмм;Элегия в древнем вкусе;ВЕ;NA;1821;Ч. 118;№ 10;93-98;per;NA;Я;6;жжмм;nc;core
424;Гл.б.в;Глебов Д.П.;Странствующий Гомер;О Кумы славные, Юноне град бесценный;1821;Я;Я6;Я6жжмм;Элегия в древнем вкусе;ВЕ;NA;1821;Ч. 120;№ 17;21-27;per;Повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 73-79.;Я;6;жжмм;nc;core
425;И. Бороздна;Бороздна И.П.;Умирающий Виргилий;В убогой хижине, один среди чужбины;1826;Я;Я6;Я6неурег;Элегия из Мильвуа;ВЕ;NA;1826;Март и апрель;№ 6;99-102;per;Повторно опубликовано: Опыты в стихах Ивана Бороздны. М. 1828. С. 93-95.;Я;6;неурег;canon;core
426;И. Бороздна;Бороздна И.П.;Умирающий христианин;Что слышу? Прозвучал священной меди звон!;1827;Я;Я666664;Я666664ммжммж;Из Ламартина;ВЕ;NA;1827;Март и апрель;№ 7;209-210;per;NA;Я;666664;ммжммж;canon;core
428;А. Д.;[А. Д.];Воспоминание;Вотще уходит день за днем;1825;Я;Я4;Я4мжжм;Из Ламартина;ВЕ;NA;1825;Ноябрь и Декабрь;№ 21;3-6;per;NA;Я;4;мжжм;nc;core
429;П.;Полежаев А.И.;NA;Когда задумчивый, унылый;1826;Я;Я4;Я4жмжм;Из Ламартина;ВЕ;NA;1826;Июль и август;№ 15;204-206;per;Повторно опубликовано: Полежаев А. Стихотворения. М. 1832. С. 78-80;Я;4;жмжм;canon;core
430;П.;Полежаев А.И.;Юность;О други! сорвемте румяные розы;1826;Амф;Амф4;Амф4жмжм;Из Ламартина;ВЕ;NA;1826;Июль и август;№ 15;206-207;per;NA;Амф;4;жмжм;nc;core
431;Н.Н.;Надеждин Н.И.;Элегия;О как ты нас неспешно навещаешь;1829;Я;Я5;Я5жмжм;С французского;ВЕ;NA;1829;Июль и август;№ 16;290-291;per;NA;Я;5;жмжм;nc;core
432;А.;[А.];Элегия;Люблю я мрачные картины;1830;Я;Я4;Я4неурег;NA;ВЕ;NA;1830;Май и июнь;№ 10;97;per;NA;Я;4;неурег;nc;core
433;NA;[Без подписи];Элегия;Сокройтесь от меня вы, шумные забавы;1821;Я;Я6;Я6неурег;Подражание Шолье;ВЕ;NA;1821;Ч. 119;№ 13;68;per;NA;Я;6;неурег;nc;core
434;NA;Одоевский А.И.;Элегия;Где он? где друг? кого спросить?;1830;Я;Я4;Я4неурег;На смерть А. С. Грибоедова;Литературная газета;NA;1830;Т. 1;№ 19;149-150;per;NA;Я;4;неурег;canon;core
